dataset,step,label,n_episodes,episode,seed,success,progress_pct,stage_reached,stage_index,failure_mode,ever_reached,ever_grasped,ever_lifted,ever_hovered,r_reach_max,r_grasp_max,r_lift_max,r_hover_max,max_staged_reward,init_gripper_to_can,min_gripper_to_can,reach_closure_frac,init_can_to_bin_xy,min_can_to_bin_xy,bin_closure_frac,max_can_height_gain,max_can_displacement,can_fell_off,steps,step_first_reach,step_first_grasp,step_first_lift,step_first_hover,step_first_success,eef_path_length,eef_net_displacement,path_efficiency,action_abs_mean,action_abs_max,action_saturation_frac,action_jerk_mean,gripper_cmd_mean,gripper_closed_frac,gripper_switches,best_shaped_reward
mh,1000,k1_mh_1000,30,4,100004,False,15.03,reach,1,reached_but_no_grasp,True,False,False,False,0.5011,0.0,0.0,0.0,0.5011,0.2024,0.0548,0.7294,,,,0.0,0.0127,False,150,91,,,,,0.7563,0.1797,0.2375,0.2828,1.0,0.0924,0.2939,-0.6819,0.1333,38,0.2227
mh,1000,k1_mh_1000,30,5,100005,True,100.0,success,4,none_success,True,True,True,True,0.9514,0.25,1.0,0.0,1.0,0.2096,0.0049,0.9768,,,,0.0102,0.0274,False,139,50,130,130,139,,0.6889,0.2165,0.3142,0.2697,1.0,0.0719,0.3008,-0.3672,0.2878,47,1.0
mh,1000,k1_mh_1000,30,6,100006,False,13.46,reach,1,reached_but_no_grasp,True,False,False,False,0.4485,0.0,0.0,0.0,0.4485,0.194,0.062,0.6801,,,,0.0,0.0127,False,150,63,,,,,0.7415,0.3096,0.4176,0.2634,1.0,0.0752,0.2992,-0.2227,0.3533,45,0.1993
mh,1000,k1_mh_1000,30,7,100007,False,14.4,reach,1,reached_but_no_grasp,True,False,False,False,0.4801,0.0,0.0,0.0,0.4801,0.2082,0.0576,0.7233,,,,0.0,0.0413,False,150,42,,,,,0.7655,0.2454,0.3206,0.2638,1.0,0.0752,0.2887,-0.4149,0.26,46,0.2134
mh,1000,k1_mh_1000,30,8,100008,True,100.0,success,4,none_success,True,True,True,True,0.9389,0.25,1.0,0.0,1.0,0.217,0.0061,0.9718,,,,0.0107,0.0127,False,120,65,113,113,120,,0.5921,0.2165,0.3656,0.2702,1.0,0.0833,0.2835,-0.4434,0.25,33,1.0
mh,1000,k1_mh_1000,30,9,100009,False,23.39,reach,1,reached_but_no_grasp,True,False,False,False,0.7795,0.0,0.0,0.0,0.7795,0.2226,0.0224,0.8993,,,,0.0,0.0272,False,150,51,,,,,0.6776,0.2259,0.3333,0.2634,1.0,0.0752,0.2899,-0.5235,0.18,40,0.3464
mh,1000,k1_mh_1000,30,10,100010,False,16.98,reach,1,reached_but_no_grasp,True,False,False,False,0.5661,0.0,0.0,0.0,0.5661,0.1916,0.0465,0.7575,,,,0.0,0.0182,False,150,31,,,,,0.7489,0.1824,0.2436,0.269,1.0,0.0876,0.2742,-0.6217,0.1467,32,0.2516
mh,1000,k1_mh_1000,30,11,100011,False,11.52,reach,1,reached_but_no_grasp,True,False,False,False,0.3839,0.0,0.0,0.0,0.3839,0.2243,0.0719,0.6796,,,,0.0,0.0137,False,150,48,,,,,0.6665,0.2517,0.3776,0.2654,1.0,0.0771,0.2858,-0.6407,0.14,35,0.1706
mh,1000,k1_mh_1000,30,12,100012,False,5.99,none,0,never_reached_cube,False,False,False,False,0.1995,0.0,0.0,0.0,0.1995,0.2013,0.11,0.4535,,,,0.0,0.0127,False,150,,,,,,0.7894,0.2663,0.3374,0.2546,1.0,0.0638,0.2939,-0.1691,0.4133,51,0.0887
mh,1000,k1_mh_1000,30,13,100013,False,18.79,reach,1,reached_but_no_grasp,True,False,False,False,0.6262,0.0,0.0,0.0,0.6262,0.2152,0.0393,0.8175,,,,0.0,0.0422,False,150,46,,,,,0.6505,0.2146,0.3299,0.2647,1.0,0.0724,0.2967,-0.5099,0.2133,49,0.2783
